Tool;Model;RunIndex;PhaseName;MetricName;MetricValue
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;384013300
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4704472
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Load;Time;150004800
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;3593016
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Run;Time;602061200
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;4612304
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;236679700
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;4703832
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;0;Load;Time;254221000
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;3961048
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;0;Run;Time;45081830300
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;4724136
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Time;732224100
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Initialization;Memory;4570224
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Time;87031300
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Load;Memory;4957856
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Time;75385900
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;0;Run;Memory;5065776
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Initialization;Time;512165100
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Initialization;Memory;4557832
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Load;Time;164908100
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Load;Memory;5322080
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Run;Time;329998500
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;0;Run;Memory;5568952
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;1;Initialization;Time;224327200
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;1;Initialization;Memory;4703832
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;1;Load;Time;95462900
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;1;Load;Memory;3593144
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;1;Run;Time;502330900
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;1;Run;Memory;4612584
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;1;Initialization;Time;225628900
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;1;Initialization;Memory;4703720
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;1;Load;Time;183197500
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;1;Load;Memory;3961448
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;1;Run;Time;46337565900
EMFSolutionATL;GeneratedI8O2Seed68.ttmodel;1;Run;Memory;4731888
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;1;Initialization;Time;554561400
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;1;Initialization;Memory;4570016
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;1;Load;Time;76210100
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;1;Load;Memory;4952720
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;1;Run;Time;81597600
ATLEMFTVMImproved;GeneratedI4O2Seed42.ttmodel;1;Run;Memory;5057512
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;1;Initialization;Time;699393800
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;1;Initialization;Memory;4573616
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;1;Load;Time;164687700
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;1;Load;Memory;5320544
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;1;Run;Time;268067200
ATLEMFTVMImproved;GeneratedI8O2Seed68.ttmodel;1;Run;Memory;5569792
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;2;Initialization;Time;236046100
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;2;Initialization;Memory;4704616
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;2;Load;Time;100017300
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;2;Load;Memory;3593088
EMFSolutionATL;GeneratedI4O2Seed42.ttmodel;2;Run;Time;616262300
